time, solar
24600, 1501.0
24720, 1531.0
24840, 1552.0
24960, 1615.0
25080, 1603.0
25200, 1631.0
25320, 1643.0
25440, 1686.0
25560, 1682.0
25680, 1691.0
25800, 1725.0
25920, 1743.0
26040, 1739.0
26160, 1764.0
26280, 1785.0
26400, 1819.0
26520, 1850.0
26640, 1851.0
26760, 1865.0
26880, 1909.0
27000, 1881.0
27120, 1927.0
27240, 1948.0
27360, 1908.0
27480, 1928.0
27600, 1976.0
27720, 1996.0
27840, 2016.0
27960, 2043.0
28080, 2060.0
28200, 2075.0
28320, 2071.0
28440, 2094.0
28560, 2128.0
28680, 2078.0
28800, 2088.0
28920, 2136.0
29040, 2126.0
29160, 2158.0
29280, 2181.0
29400, 2177.0
29520, 2213.0
29640, 2214.0
29760, 2191.0
29880, 2252.0
30000, 2224.0
30120, 2249.0
30240, 2232.0
30360, 2242.0
30480, 2251.0
30600, 2288.0
30720, 2269.0
30840, 2308.0
30960, 2307.0
31080, 2289.0
31200, 2342.0
31320, 2310.0
31440, 2323.0
31560, 2294.0
31680, 2324.0
31800, 2311.0
31920, 2334.0
32040, 2343.0
32160, 2377.0
32280, 2353.0
32400, 2359.0
32520, 2373.0
32640, 2391.0
32760, 2396.0
32880, 2388.0
33000, 2411.0
33120, 2427.0
33240, 2409.0
33360, 2407.0
33480, 2420.0
33600, 2431.0
33720, 2429.0
33840, 2469.0
33960, 2501.0
34080, 2504.0
34200, 2482.0
34320, 2475.0
34440, 2475.0
34560, 2466.0
34680, 2493.0
34800, 2437.0
34920, 2432.0
35040, 2473.0
35160, 2558.0
35280, 2476.0
35400, 2501.0
35520, 2502.0
35640, 2569.0
35760, 2542.0
35880, 2530.0
36000, 2525.0
36120, 2514.0
36240, 2495.0
36360, 2507.0
36480, 2486.0
36600, 2488.0
36720, 2477.0
36840, 2444.0
36960, 2502.0
37080, 2508.0
37200, 2529.0
37320, 2505.0
37440, 2516.0
37560, 2524.0
37680, 2513.0
37800, 2494.0
37920, 2532.0
38040, 2481.0
38160, 2509.0
38280, 2499.0
38400, 2483.0
38520, 2488.0
38640, 2489.0
38760, 2433.0
38880, 2433.0
39000, 2444.0
39120, 2484.0
39240, 2439.0
39360, 2448.0
39480, 2463.0
39600, 2451.0
39720, 2461.0
39840, 2434.0
39960, 2458.0
40080, 2450.0
40200, 2435.0
40320, 2440.0
40440, 2447.0
40560, 2398.0
40680, 2402.0
40800, 2380.0
40920, 2402.0
41040, 2411.0
41160, 2375.0
41280, 2388.0
41400, 2390.0
